age;p10Be
11553;1.2804
11554;1.2799
11555;1.2794
11556;1.2792
11557;1.279
11558;1.279
11559;1.279
11560;1.279
11561;1.2791
11562;1.2792
11563;1.2793
11564;1.2793
11565;1.2793
11566;1.2793
11567;1.2792
11568;1.2791
11569;1.2788
11570;1.2785
11571;1.278
11572;1.2775
11573;1.2767
11574;1.2758
11575;1.2746
11576;1.2731
11577;1.2712
11578;1.2689
11579;1.2662
11580;1.2629
11581;1.259
11582;1.2545
11583;1.2493
11584;1.2434
11585;1.2367
11586;1.2294
11587;1.2213
11588;1.2126
11589;1.2033
11590;1.1934
11591;1.1831
11592;1.1725
11593;1.1617
11594;1.1509
11595;1.1401
11596;1.1295
11597;1.1192
11598;1.1095
11599;1.1002
11600;1.0917
11601;1.084
11602;1.077
11603;1.071
11604;1.0659
11605;1.0617
11606;1.0585
11607;1.0561
11608;1.0547
11609;1.0541
11610;1.0543
11611;1.0553
11612;1.0569
11613;1.0592
11614;1.0619
11615;1.0652
11616;1.0688
11617;1.0727
11618;1.0768
11619;1.0811
11620;1.0854
11621;1.0898
11622;1.094
11623;1.0982
11624;1.1021
11625;1.1057
11626;1.109
11627;1.1119
11628;1.1144
11629;1.1164
11630;1.1179
11631;1.1189
11632;1.1194
11633;1.1192
11634;1.1186
11635;1.1173
11636;1.1156
11637;1.1133
11638;1.1105
11639;1.1072
11640;1.1036
11641;1.0996
11642;1.0952
11643;1.0906
11644;1.0858
11645;1.0809
11646;1.0759
11647;1.0709
11648;1.0661
11649;1.0613
11650;1.0569
11651;1.0527
11652;1.0489
11653;1.0455
11654;1.0426
11655;1.0402
11656;1.0384
11657;1.0372
11658;1.0366
11659;1.0366
11660;1.0372
11661;1.0385
11662;1.0402
11663;1.0425
11664;1.0452
11665;1.0483
11666;1.0518
11667;1.0555
11668;1.0594
11669;1.0635
11670;1.0676
11671;1.0716
11672;1.0756
11673;1.0793
11674;1.0829
11675;1.0861
11676;1.089
11677;1.0915
11678;1.0935
11679;1.095
11680;1.096
11681;1.0963
11682;1.0961
11683;1.0951
11684;1.0935
11685;1.0913
11686;1.0883
11687;1.0846
11688;1.0803
11689;1.0753
11690;1.0697
11691;1.0635
11692;1.0569
11693;1.0499
11694;1.0425
11695;1.0349
11696;1.0272
11697;1.0194
11698;1.0116
11699;1.004
11700;0.99667
11701;0.98962
11702;0.98294
11703;0.9767
11704;0.97092
11705;0.96564
11706;0.96086
11707;0.95658
11708;0.95278
11709;0.94942
11710;0.94648
11711;0.9439
11712;0.94163
11713;0.93962
11714;0.9378
11715;0.93612
11716;0.93453
11717;0.93298
11718;0.93144
11719;0.92987
11720;0.92825
11721;0.92658
11722;0.92484
11723;0.92305
11724;0.92123
11725;0.91939
11726;0.91758
11727;0.91583
11728;0.91418
11729;0.91269
11730;0.9114
11731;0.91035
11732;0.9096
11733;0.90918
11734;0.90912
11735;0.90947
11736;0.91023
11737;0.91142
11738;0.91305
11739;0.9151
11740;0.91757
11741;0.92041
11742;0.92361
11743;0.92712
11744;0.93089
11745;0.93486
11746;0.93899
11747;0.94321
11748;0.94746
11749;0.95169
11750;0.95584
11751;0.95986
11752;0.96372
11753;0.96736
11754;0.97078
11755;0.97393
11756;0.97682
11757;0.97944
11758;0.98179
11759;0.98388
11760;0.98573
11761;0.98737
11762;0.98881
11763;0.9901
